TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
GO:0002376," ""immune system process""",0.876,3.577,-6.537,5.302,-5.848,1,0,-1, False
GO:0007275," ""multicellular organism development""",1.649,0.941,-6.971,5.576,-4.91,0.884,0,-1, False
GO:0001944," ""vasculature development""",0.126, null, null,4.458,-1.432,0.899,0.708,7275, True
GO:0030097," ""hemopoiesis""",0.139, null, null,4.502,-4.029,0.874,0.714,7275, True
GO:0002520," ""immune system development""",0.155, null, null,4.55,-4.863,0.88,0.722,7275, True
GO:0035239," ""tube morphogenesis""",0.169, null, null,4.587,-1.75,0.9,0.728,7275, True
GO:0035295," ""tube development""",0.221, null, null,4.703,-1.46,0.898,0.746,7275, True
GO:0030182," ""neuron differentiation""",0.277, null, null,4.801,-4.167,0.88,0.763,7275, True
GO:0048646," ""anatomical structure formation involved in morphogenesis""",0.348, null, null,4.901,-1.372,0.898,0.782,7275, True
GO:0007399," ""nervous system development""",0.548, null, null,5.098,-2.837,0.886,0.82,7275, True
GO:0006955," ""immune response""",0.683, null, null,5.193,-2.275,0.886,0.82,7275, True
GO:0048869," ""cellular developmental process""",1.041, null, null,5.376,-2.421,0.886,0.854,7275, True
GO:0048513," ""animal organ development""",0.731, null, null,5.223,-1.364,0.883,0.859,7275, True
GO:0009653," ""anatomical structure morphogenesis""",0.866, null, null,5.297,-2.001,0.89,0.862,7275, True
GO:0030154," ""cell differentiation""",1.023, null, null,5.369,-2.1,0.878,0.863,7275, True
GO:0048731," ""system development""",1.223, null, null,5.446,-4.783,0.883,0.897,7275, True
GO:0022008," ""neurogenesis""",0.356, null, null,4.911,-3.194,0.88,0.898,7275, True
GO:1903131," ""mononuclear cell differentiation""",0.05, null, null,4.062,-1.905,0.876,0.916,7275, True
GO:0048856," ""anatomical structure development""",2.035, null, null,5.668,-3.372,0.884,0.925,7275, True
GO:0002521," ""leukocyte differentiation""",0.064, null, null,4.166,-2.245,0.875,0.932,7275, True
GO:0031175," ""neuron projection development""",0.179, null, null,4.613,-2.716,0.849,0.936,7275, True
GO:0048666," ""neuron development""",0.231, null, null,4.722,-2.425,0.882,0.956,7275, True
GO:0030098," ""lymphocyte differentiation""",0.044, null, null,4.004,-1.422,0.877,0.959,7275, True
GO:0048699," ""generation of neurons""",0.323, null, null,4.868,-3.622,0.879,0.966,7275, True
GO:0048534," ""hematopoietic or lymphoid organ development""",0.15, null, null,4.535,-3.585,0.873,0.987,7275, True
GO:0008152," ""metabolic process""",62.634,2.34,-5.888,7.156,-13.658,1,0,-1, False
GO:0009987," ""cellular process""",79.11,1.178,-5.939,7.257,-3.825,1,0,-1, False
GO:0016032," ""viral process""",0.155,-2.319,-6.223,4.549,-1.66,1,0,-1, False
GO:0032502," ""developmental process""",2.266,0.18,-3.36,5.714,-3.207,1,0,-1, False
GO:0044419," ""biological process involved in interspecies interaction between organisms""",0.755,-0.747,-2.512,5.237,-5.777,1,0,-1, False
GO:0048523," ""negative regulation of cellular process""",2.15,5.571,3.684,5.691,-16.075,0.623,0,-1, False
GO:0051129," ""negative regulation of cellular component organization""",0.244, null, null,4.747,-4.963,0.667,0.728,48523, True
GO:0010638," ""positive regulation of organelle organization""",0.218, null, null,4.698,-2.292,0.658,0.751,48523, True
GO:1902903," ""regulation of supramolecular fiber organization""",0.222, null, null,4.705,-1.649,0.752,0.752,48523, True
GO:0033043," ""regulation of organelle organization""",0.55, null, null,5.1,-4.058,0.732,0.813,48523, True
GO:0033044," ""regulation of chromosome organization""",0.141, null, null,4.507,-2.274,0.76,0.815,48523, True
GO:0051130," ""positive regulation of cellular component organization""",0.327, null, null,4.874,-3.713,0.647,0.835,48523, True
GO:2000113," ""negative regulation of cellular macromolecule biosynthetic process""",0.88, null, null,5.304,-9.416,0.601,0.837,48523, True
GO:0032269," ""negative regulation of cellular protein metabolic process""",0.578, null, null,5.121,-4.939,0.593,0.851,48523, True
GO:0000122," ""negative regulation of transcription by RNA polymerase II""",0.189, null, null,4.635,-7.75,0.642,0.852,48523, True
GO:0045934," ""negative regulation of nucleobase-containing compound metabolic process""",0.749, null, null,5.233,-8.424,0.607,0.873,48523, True
GO:0051172," ""negative regulation of nitrogen compound metabolic process""",1.309, null, null,5.476,-13.607,0.6,0.877,48523, True
GO:0009890," ""negative regulation of biosynthetic process""",0.914, null, null,5.32,-8.717,0.612,0.88,48523, True
